Year,Price
2024,76.10862531576694
2025,77.21769240319857
2026,81.38088859234206
2027,83.68792779406562
2028,84.75092107099165
2029,93.15175809242922
2030,92.59520984053101
2031,97.1199554062037
2032,96.2931689280353
2033,97.42380017550786
2034,103.62082965152865
2035,100.76577817747535
2036,103.66050109389663
2037,108.34568066430816
2038,107.29769066950827
2039,109.51117455837556
2040,116.6124863204569
2041,122.87437906106521
2042,123.01257681726499
2043,118.80342385228069
2044,121.63732504178951
2045,111.7959205459728
2046,96.19022328524653
2047,93.83712296530611
2048,88.75242122205725
2049,87.69896609531072
2050,100.42539080083242
2051,102.20500603206867
2052,100.10340373049914
2053,101.1230401677601
